Arkivbildare;ArkBildOrgNr;Altname;Grupp
Ekonomienheten;909151;;Göteborgs Universitet
Internrevisionen;909160;;Göteborgs Universitet
Personalenheten;909152;;Göteborgs Universitet
Universitetsledningens stab;909410;;Göteborgs Universitet
Göteborgs miljövetenskapliga centrum;189006;GMV;Göteborgs Universitet
Bibliotekkansliet;78001;;Göteborgs Universitet
Handelshögskolans fakultetskansli;92290;;Göteborgs Universitet
Företagsekonomiska institutionen;92220;;Göteborgs Universitet
Gothenburg Research Institute;92281;GRI;Göteborgs Universitet
Graduate School;92209;GS;Göteborgs Universitet
Handelshögskolans fakultetskansli;92290;;Göteborgs Universitet
Institutionen för ekonomi och samhälle;92211;;Göteborgs Universitet
Institutionen för nationalekonomi med statistik;92250;;Göteborgs Universitet
Juridiska institutionen;92260;;Göteborgs Universitet
Havsmiljöinstitutet;149029;;Göteborgs Universitet
Humanistiska fakultetskansliet;51930;;Göteborgs Universitet
Institutionen för filosofi lingvistik och vetenskapsteori;51140;;Göteborgs Universitet
Institutionen för historiska studier;51100;;Göteborgs Universitet
Institutionen för kulturvetenskaper;51120;;Göteborgs Universitet
Institutionen för litteratur idéhistoria och religion;51150;;Göteborgs Universitet
Institutionen för språk och litteraturer;51160;;Göteborgs Universitet
Institutionen för svenska språket;51170;;Göteborgs Universitet
IT-fakultetens kansli;107801;;Göteborgs Universitet
Institutionen för data- och informationsteknik;107820;;Göteborgs Universitet
Institutionen för tillämpad informationsteknologi;107810;;Göteborgs Universitet
IT-fakultetens kansli;107801;;Göteborgs Universitet
Konstnärliga fakultetskansliet;86900;;Göteborgs Universitet
HDK-Valand - Högskolan för konst och design;86700;HDK;Göteborgs Universitet
Högskolan för scen och musik;86120;;Göteborgs Universitet
Konstnärliga fakultetskansliet;86900;;Göteborgs Universitet
Nationella sekretariatet för genusforskning;159028;;Göteborgs Universitet
Nationellt Centrum för Matematikutbildning;119025;NCM;Göteborgs Universitet
Fakultetskansliet för naturvetenskap;13950;;Göteborgs Universitet
Institutionen för biologi och miljövetenskap;13130;;Göteborgs Universitet
Institutionen för fysik;13050;;Göteborgs Universitet
Institutionen för geovetenskaper;13020;;Göteborgs Universitet
Institutionen för kemi och molekylärbiologi;13140;;Göteborgs Universitet
Institutionen för kulturvård;13016;;Göteborgs Universitet
Institutionen för marina vetenskaper;13150;;Göteborgs Universitet
Institutionen för Matematiska vetenskaper;13001;;Göteborgs Universitet
Naturvetenskapliga fakultetsstyrelsen;13909;;Göteborgs Universitet
Sven Lovén centrum för marin infrastruktur;13860;;Göteborgs Universitet
Nordicom;179031;;Göteborgs Universitet
Områdesstab infrastrukturstöd;909440;;Göteborgs Universitet
FASTIGHETS- OCH SERVICEENHETEN;909170;;Göteborgs Universitet
IT-enheten;909255;;Göteborgs Universitet
Områdesstab infrastrukturstöd;909440;;Göteborgs Universitet
Strategiska lokalprojekt;909470;;Göteborgs Universitet
Områdeskansli verksamhetsstöd;909420;;Göteborgs Universitet
Enheten för utredning och lärarutbildning;909423;;Göteborgs Universitet
Forsknings- och innovationskontoret;909422;;Göteborgs Universitet
International Centre;909421;;Göteborgs Universitet
Kommunikationsenheten;909180;;Göteborgs Universitet
Områdeskansli verksamhetsstöd;909420;;Göteborgs Universitet
Utbildningsenheten;909270;;Göteborgs Universitet
Sahlgrenska akademins kansli;35001;;Göteborgs Universitet
Core Facilities vid Sahlgrenska Akademin;35800;;Göteborgs Universitet
Institutionen för biomedicin;35300;;Göteborgs Universitet
Institutionen för kliniska vetenskaper;35600;;Göteborgs Universitet
Institutionen för medicin;35500;;Göteborgs Universitet
Institutionen för neurovetenskap och fysiologi;35400;;Göteborgs Universitet
Institutionen för odontologi;35100;;Göteborgs Universitet
Institutionen för vårdvetenskap och hälsa;35200;;Göteborgs Universitet
Sahlgrenska akademin Gemensamt;35000;;Göteborgs Universitet
Sahlgrenska akademins kansli;35001;;Göteborgs Universitet
Samhällsvetenskapliga fakultetskansliet;22001;;Göteborgs Universitet
Förvaltningshögskolan;22420;;Göteborgs Universitet
Institutionen för globala studier;22080;;Göteborgs Universitet
Institutionen för journalistik medier och kommunikation;22430;;Göteborgs Universitet
Institutionen för socialt arbete;22470;;Göteborgs Universitet
Institutionen för sociologi och arbetsvetenskap;22480;;Göteborgs Universitet
Psykologiska institutionen;22440;;Göteborgs Universitet
Samhällsvetenskapliga fakultetskansliet;22001;;Göteborgs Universitet
Statsvetenskapliga institutionen;22490;;Göteborgs Universitet
SEGERSTEDTINSTITUTET;199033;;Göteborgs Universitet
Svensk nationell datatjänst;169030;SND;Göteborgs Universitet
Utbildningsvetenskapliga fakultetskansliet;42720;;Göteborgs Universitet
ENHETEN FÖR AKADEMISKT SPRÅK;42726;;Göteborgs Universitet
Enheten för skolsamverkan ämneslärarutbildning och kompletteran;42750;;Göteborgs Universitet
Institutionen för didaktik och pedagogisk profession;42930;;Göteborgs Universitet
Institutionen för kost- och idrottsvetenskap;42940;;Göteborgs Universitet
Institutionen för pedagogik kommunikation och lärande;42920;;Göteborgs Universitet
Institutionen för pedagogik och specialpedagogik;42910;;Göteborgs Universitet
Pedagogisk utveckling och interaktivt lärande;42725;PIL;Göteborgs Universitet
Utbildningsvetenskapliga fakultetskansliet;42720;;Göteborgs Universitet
